"Periode ke","date","TS","WS10M","PRECTOT","WS50M","T2M","PS","T2MWET","T2MDEW"
"1","1/1/2019","12.82","1.2","0.24","2.8","12.92","99.7","11.21","11.26"
"2","1/2/2019","9.33","1.25","13.69","2.43","9.31","99.72","8.44","8.46"
"3","1/3/2019","9.83","1.72","16.65","3.53","9.83","99.26","9.37","9.35"
"4","1/4/2019","9.9","3.2","12.08","6.13","9.94","98.53","8.44","8.9"
"5","1/5/2019","6.77","1.99","0.02","3.86","7.02","99.51","4.42","4.43"
"6","1/6/2019","7.49","1.38","0","2.26","9.48","99.84","5.34","5.47"
"7","1/7/2019","10.66","2.16","0.01","5.25","10.71","99.75","8.35","8.42"
"8","1/8/2019","13.04","2.48","0.19","5.35","13.1","99.68","11.38","11.44"
"9","1/9/2019","4.65","2.71","0","5.66","4.71","100.07","1.22","1.31"
"10","1/10/2019","0.35","2.32","0","4.78","0.34","100.13","-3.48","-3.54"
"11","1/11/2019","2.92","1.58","0","3.38","3.17","100.01","-0.48","-0.2"
"12","1/12/2019","7.17","2.61","15.07","5.16","7.17","99.6","6.03","6.26"
"13","1/13/2019","7.44","2.24","0.51","4.34","7.47","99.78","5.81","5.89"
"14","1/14/2019","3.93","1.87","0.02","3.66","3.91","100.25","1.92","1.87"
"15","1/15/2019","2.42","1.33","0","2.47","2.91","100.22","-0.09","-0.11"
"16","1/16/2019","2.32","1.12","0","1.71","4.22","100.12","0.15","0.2"
"17","1/17/2019","5.32","1.9","6.01","4.03","5.5","99.75","4.93","5.17"
"18","1/18/2019","9.91","1.21","0.95","2.47","10.7","99.42","9.14","9.18"
"19","1/19/2019","11.83","4.39","34.2","8.09","11.91","98.31","10.9","11.63"
"20","1/20/2019","-0.81","3.52","0.21","6.41","-0.82","99.72","-4.41","-4.56"
"21","1/21/2019","-1.21","1.97","0","4.02","-1.23","100.48","-5.26","-5.4"
"22","1/22/2019","4.57","3.2","0.05","6.13","4.53","100.29","1.68","2.32"
"23","1/23/2019","10.67","3.89","43.93","7.13","10.77","98.95","10.03","10.37"
"24","1/24/2019","1.6","2.58","0.51","5.05","1.58","99.34","-1.63","-1.58"
"25","1/25/2019","0.46","1.78","0","3.42","1.13","100.19","-2.89","-2.93"
"26","1/26/2019","1.89","1.62","0","3.02","3","100.05","-1.08","-0.91"
"27","1/27/2019","4.64","1.56","0","3.56","5.07","99.53","2.57","2.65"
"28","1/28/2019","7.19","2.2","0.36","4.88","7.19","99.04","4.89","5.01"
"29","1/29/2019","0.12","2.93","3.89","5.43","0.19","99.56","-3.25","-2.73"
"30","1/30/2019","-1.58","2","0","3.8","-1.19","100.12","-4.55","-4.64"
"31","1/31/2019","1.51","1.52","0","3.32","1.93","100.32","-2.6","-2.51"
"32","2/1/2019","5.23","1.74","0","3.58","6.68","100.13","1.37","1.53"
"33","2/2/2019","9.28","1.66","0.01","3.39","9.98","99.85","6.32","6.7"
"34","2/3/2019","12.3","1.45","0.02","3.52","12.45","99.41","10.8","10.86"
"35","2/4/2019","13.54","2.11","0.56","4.78","13.56","99.28","12.81","12.9"
"36","2/5/2019","16.69","1.74","1.8","4.14","16.72","99.41","15.7","15.71"
"37","2/6/2019","18.93","2.69","0.85","5.57","18.97","99.37","17.62","17.62"
"38","2/7/2019","18.6","3.11","1.8","6.15","18.68","99.39","16.92","17.01"
"39","2/8/2019","4.3","3.63","0.56","6.23","4.29","100.7","-1.2","-0.9"
"40","2/9/2019","4.21","2.26","0.18","4.48","4.15","101.02","0.08","0.34"
"41","2/10/2019","7.39","2.33","0.41","4.58","7.38","100.39","5.75","5.93"
"42","2/11/2019","12.87","2.38","2.82","4.69","12.83","99.37","11.99","12.24"
"43","2/12/2019","13.18","3.57","27.31","6.82","13.3","99.06","12.12","12.85"
"44","2/13/2019","5.14","1.87","0","3.77","6.01","99.92","0.56","0.64"
"45","2/14/2019","7.88","2.76","0","5.89","7.91","99.26","5.22","5.53"
"46","2/15/2019","14.24","2.3","8.41","4.73","14.25","98.67","13.59","13.64"
"47","2/16/2019","9.96","2.09","1.52","3.61","9.91","98.64","7.26","7.67"
"48","2/17/2019","13.07","2.5","20.23","4.54","13.06","98.65","12.21","12.74"
"49","2/18/2019","7.07","2.74","1.06","4.89","7.04","100.01","2.94","3.04"
"50","2/19/2019","6.11","3.47","33.83","5.99","6.07","100.15","4.72","4.88"
"51","2/20/2019","12.39","3.68","29.48","6.68","12.44","99.13","11.75","12.26"
"52","2/21/2019","12.89","1.68","21.75","2.97","12.9","99.48","12.04","12.15"
"53","2/22/2019","14.72","1.15","22.1","2.44","14.71","99.6","13.81","14.04"
"54","2/23/2019","19.17","3.83","26.34","7.27","19.17","99.1","17.98","18.02"
"55","2/24/2019","10.68","3.54","2.26","7.03","10.78","99.61","7.03","7.75"
"56","2/25/2019","7.04","1.89","0","3.82","7.48","100.51","1.93","2.07"
"57","2/26/2019","10.97","1.57","0","3.97","11.01","100.13","7.28","7.6"
"58","2/27/2019","15.31","1.27","1.69","2.65","15.81","99.6","12.59","12.75"
"59","2/28/2019","16.24","1.93","16.88","4.06","16.37","99.13","15.33","15.32"
"60","3/1/2019","13.24","1.8","2.07","3.41","13.33","99.29","11.79","11.9"
"61","3/2/2019","10.26","1.28","0.4","2.48","10.19","99.56","7.89","7.92"
"62","3/3/2019","8.19","2.51","31.83","4.44","8.19","99.09","6.56","6.92"
"63","3/4/2019","0.85","3.01","0.12","5.22","0.76","99.78","-3.21","-3.28"
"64","3/5/2019","-0.49","2.67","0","5.02","-0.57","100.21","-5.33","-5.53"
"65","3/6/2019","0.37","1.78","0","3.23","0.85","100.56","-4.82","-4.96"
"66","3/7/2019","5.38","1.69","0","3.65","5.59","100.17","-0.21","0.28"
"67","3/8/2019","13.49","2.75","1.78","5.75","13.47","99.45","11.51","11.94"
"68","3/9/2019","17.06","3.64","7.72","7.05","17.09","99.06","15.98","15.98"
"69","3/10/2019","18.28","1.42","6.39","3.13","18.44","99.59","13.62","13.92"
"70","3/11/2019","12.28","1.9","2.63","3.99","12.39","100.07","9.93","9.95"
"71","3/12/2019","13.59","1.47","0","3.36","13.61","100.03","8.47","8.65"
"72","3/13/2019","15.61","3.42","0","6.94","15.62","99.42","13.09","13.25"
"73","3/14/2019","19.77","4.28","12.96","8.19","19.8","99.06","17.94","18.05"
"74","3/15/2019","12.35","2.43","1.61","4.77","12.39","99.72","8.52","8.81"
"75","3/16/2019","7.46","2.37","0","4.93","7.45","100.22","2.81","2.93"
"76","3/17/2019","8.55","1.94","0","4.39","8.53","100.08","3.37","3.62"
"77","3/18/2019","7.76","2.49","0","5.27","7.75","100.26","2.74","2.79"
"78","3/19/2019","6.75","2.06","0","4.27","6.97","100.3","1.35","1.45"
"79","3/20/2019","9.01","1.56","0","3.17","9.56","99.79","3.43","3.68"
"80","3/21/2019","10.38","2.75","0.35","5.61","10.38","99.3","6.61","6.62"
"81","3/22/2019","9.18","2.05","0","4.77","9.16","99.63","5.25","5.39"
"82","3/23/2019","11.44","1.58","0","3.32","12.3","99.95","5.4","5.47"
"83","3/24/2019","13.04","1.88","0.1","4.72","13.06","99.8","9.4","9.66"
"84","3/25/2019","15.01","2.61","2.95","5.33","15.03","99.25","13.05","13.14"
"85","3/26/2019","10.52","2.85","0.05","5.47","10.5","99.8","6.06","6.12"
"86","3/27/2019","11.46","1.69","0","3.65","11.49","100.22","6.95","7.15"
"87","3/28/2019","11.99","2.01","0","4.52","12","100.19","6.91","7.09"
"88","3/29/2019","13.35","1.61","0","3.98","13.44","99.7","11.02","11.2"
"89","3/30/2019","17.38","3.01","7.04","5.96","17.42","99.11","14.72","14.86"
"90","3/31/2019","6.8","3.12","1.94","5.86","6.77","99.8","1.71","1.79"
"91","4/1/2019","7.68","1.64","0.04","3.22","8.09","99.86","0.86","1.06"
"92","4/2/2019","9.88","1.69","0.02","3.21","10.34","99.73","4.61","4.73"
"93","4/3/2019","12.01","1.78","0","3.84","12.35","100.17","6.26","6.59"
"94","4/4/2019","12.86","2.04","8.38","4.66","12.86","99.81","11.49","11.64"
"95","4/5/2019","17.03","1.47","1.05","3.1","17.41","99.4","13.99","14.04"
"96","4/6/2019","19.59","1.43","17.04","3.48","19.53","99.5","16.86","17.09"
"97","4/7/2019","20.18","1.9","2.54","4.43","20.2","99.54","17.93","17.94"
"98","4/8/2019","19.78","1.82","22.17","4.28","19.81","98.87","19.12","19.1"
"99","4/9/2019","18.95","1.7","4.89","4.19","18.97","98.51","16.94","16.94"
"100","4/10/2019","19.8","1.57","0.08","3.74","19.95","98.65","14.16","14.29"
"101","4/11/2019","21.16","3.08","0","6.37","21.16","98.65","17.42","17.52"
"102","4/12/2019","19.59","1.73","1.58","3.63","19.78","99.12","17.45","17.47"
"103","4/13/2019","19.51","2.61","21.02","5.53","19.5","98.91","17.55","17.61"
"104","4/14/2019","16.69","4.52","19.24","8.29","16.75","98.32","13.37","14.32"
"105","4/15/2019","11.32","1.55","0","2.76","12.41","99.64","6.04","6.17"
"106","4/16/2019","15.43","1.9","0","4.51","15.57","99.79","10.06","10.39"
"107","4/17/2019","16.96","1.86","0","4.36","16.95","99.38","13.46","13.57"
"108","4/18/2019","19.88","3.32","16.25","6.71","19.87","98.54","16.97","16.99"
"109","4/19/2019","11.22","3.21","32.17","5.74","11.23","97.99","9.26","9.62"
"110","4/20/2019","9.98","3.07","1.88","6.35","9.95","98.74","6.24","6.25"
"111","4/21/2019","13.87","1.33","0","2.73","15.14","99.59","7.82","8.01"
"112","4/22/2019","17.39","1.43","0","2.42","18.65","99.76","10.94","11.18"
"113","4/23/2019","18.37","1.62","0","3.71","18.58","99.53","14.29","14.44"
"114","4/24/2019","19.4","1.73","0","4.23","19.4","99.14","14.69","14.82"
"115","4/25/2019","18.69","2.5","8.19","5.14","18.7","98.73","17.42","17.38"
"116","4/26/2019","16.53","2.87","0.81","6.2","16.56","99.03","12.01","12.21"
"117","4/27/2019","16.15","2.1","0","4.23","16.55","99.21","10.18","10.46"
"118","4/28/2019","19.35","1.67","0","3.31","19.65","99.31","16.38","16.54"
"119","4/29/2019","20.54","1.95","0","4.63","20.64","99.67","16.3","16.39"
"120","4/30/2019","20.84","1.87","0","4.25","20.94","99.8","16.84","17.05"
"121","5/1/2019","22.24","2.09","0.51","4.82","22.25","99.74","18.42","18.51"
"122","5/2/2019","22.73","1.74","2.49","4.14","22.73","99.58","19.78","19.82"
"123","5/3/2019","22.89","1.67","1.18","3.72","22.91","99.17","19.22","19.27"
"124","5/4/2019","20.64","1.23","22.76","2.83","20.64","98.7","19.19","19.17"
"125","5/5/2019","19.5","1.8","3.33","3.81","19.47","98.75","16.12","16.16"
"126","5/6/2019","18.81","0.98","0.02","1.97","20.01","99.35","13.13","13.37"
"127","5/7/2019","20.44","1.08","0","1.84","21.74","99.51","14.7","14.92"
"128","5/8/2019","22.64","2.33","0.51","5.12","22.64","99.2","18.29","18.47"
"129","5/9/2019","21.46","2.09","20.64","4.48","21.46","99.11","20.14","20.14"
"130","5/10/2019","21.9","1.05","5.13","2.49","21.9","99.23","19.71","19.72"
"131","5/11/2019","21.51","2.03","10.06","4.39","21.5","98.86","20.87","20.85"
"132","5/12/2019","20.34","1.74","14.22","3.66","20.36","98.53","18.28","18.31"
"133","5/13/2019","17.21","1.81","0.04","3.87","17.26","99","12.93","13"
"134","5/14/2019","15.4","1.74","0","3.48","15.61","99.36","10.61","10.7"
"135","5/15/2019","18.48","1.21","0.3","2.75","18.58","99.32","13.61","14.03"
"136","5/16/2019","22.68","1.51","2.55","3.73","22.64","99.21","19.6","19.73"
"137","5/17/2019","23.48","1.2","1.34","2.73","23.66","99.21","19.75","19.84"
"138","5/18/2019","23.23","1.86","0.03","4.45","23.23","99.2","19.16","19.23"
"139","5/19/2019","21.57","1.97","0.11","4.72","21.59","99.15","18.48","18.54"
"140","5/20/2019","24.24","1.34","0.02","3.04","24.4","99.27","19.73","19.82"
"141","5/21/2019","24.26","2.07","0","4.9","24.27","98.99","19.58","19.67"
"142","5/22/2019","23.51","2.04","0","4.56","23.68","99.43","18.68","18.8"
"143","5/23/2019","24.72","1.28","0","2.52","25.56","99.78","19.26","19.43"
"144","5/24/2019","25.91","1.41","0","2.63","26.51","99.68","20.23","20.37"
"145","5/25/2019","26.09","1.53","0","2.73","26.7","99.67","20.33","20.5"
"146","5/26/2019","25.82","1.6","0","2.92","26.57","99.64","19.86","20.04"
"147","5/27/2019","25.85","1.44","0","3.17","26.5","99.29","20.83","21.02"
"148","5/28/2019","25.47","1.9","0","4.49","25.45","99.02","20.71","20.81"
"149","5/29/2019","25.15","2.04","0","4.69","25.18","98.97","19.54","19.69"
"150","5/30/2019","24.61","2.09","0.03","4.77","24.57","98.92","20.11","20.21"
"151","5/31/2019","24.07","1.87","0.01","3.83","24.34","99.02","18.64","18.8"
"152","6/1/2019","23.34","1.69","0","3.13","23.92","98.95","17.75","17.91"
"153","6/2/2019","24.36","1.75","0.22","3.48","24.65","98.93","19.2","19.4"
"154","6/3/2019","24.41","1.71","0.15","4.08","24.36","99.24","18.73","18.89"
"155","6/4/2019","24.88","1.21","0","2.74","25.27","99.34","16.51","16.75"
"156","6/5/2019","24.02","1.38","2.8","3.62","23.99","99.15","20.25","20.44"
"157","6/6/2019","22.47","2.26","13.95","4.43","22.47","98.69","21.33","21.29"
"158","6/7/2019","24.45","1.92","12.14","3.87","24.54","98.27","22.22","22.26"
"159","6/8/2019","23.89","1.23","22.59","2.55","24.03","98.38","21.06","21.14"
"160","6/9/2019","24.26","0.92","6.18","2.06","24.48","98.76","21.69","21.86"
"161","6/10/2019","24.65","2.39","1.49","4.92","24.65","99.2","20.42","20.56"
"162","6/11/2019","20.74","2.12","0.01","4.44","20.68","99.36","15.32","15.47"
"163","6/12/2019","21.75","1.47","0.99","3.45","21.72","98.97","18.12","18.21"
"164","6/13/2019","20.08","2.06","0.04","4.07","20.28","99.28","15.07","15.17"
"165","6/14/2019","20.42","1.57","0","3.72","20.39","99.65","13.69","13.83"
"166","6/15/2019","22.8","2.04","0","4.51","22.79","99.42","16.98","17.24"
"167","6/16/2019","24.71","1.61","0.76","3.85","24.68","99.24","20.75","20.85"
"168","6/17/2019","26.02","1.55","2.49","3.21","26.23","99.18","20.52","20.65"
"169","6/18/2019","24.03","1.66","19.26","3.67","24.01","99","22.39","22.38"
"170","6/19/2019","26.09","2.02","3.3","4.43","26.05","98.68","22.27","22.33"
"171","6/20/2019","25.85","2.68","1.01","5.57","25.89","98.71","21.84","21.9"
"172","6/21/2019","26.29","1.25","0.08","2.6","26.65","99.22","22.91","23.04"
"173","6/22/2019","25.79","1.43","10.08","3.45","25.82","99.42","23.42","23.45"
"174","6/23/2019","25.26","1.46","0.31","3.49","25.25","99.34","22.31","22.36"
"175","6/24/2019","26.08","2.41","0.91","5.16","26.06","98.99","21.66","21.75"
"176","6/25/2019","24.87","1.36","0.72","2.66","25.21","99.45","21.27","21.35"
"177","6/26/2019","25.33","1.17","4.29","2.48","25.57","99.76","20.82","20.98"
"178","6/27/2019","25.46","0.98","4.1","2.2","25.62","99.79","20.44","20.62"
"179","6/28/2019","26.04","1.47","1.73","3.21","26.07","99.68","19.07","19.26"
"180","6/29/2019","25.12","1.4","4.18","3.36","25.07","99.59","20.93","21.05"
"181","6/30/2019","26.67","0.92","2.34","1.91","26.83","99.44","21.27","21.47"
"182","7/1/2019","28.23","1.29","0","2.49","28.43","99.33","20.84","21.02"
"183","7/2/2019","28.61","1.41","0","2.95","28.81","99.21","21.13","21.31"
"184","7/3/2019","27.37","1.04","1.81","2.45","27.39","99.2","21.25","21.52"
"185","7/4/2019","27.77","1.1","0.99","1.95","27.97","99.31","22.3","22.45"
"186","7/5/2019","28.64","1.23","1.67","2.15","29.17","99.46","21.5","21.69"
"187","7/6/2019","28.75","1.34","1.81","2.94","28.94","99.29","21.02","21.21"
"188","7/7/2019","25.87","1.82","11.94","4.04","25.84","99.02","23.58","23.59"
"189","7/8/2019","27.75","1.66","3.14","3.79","27.7","98.91","22.51","22.65"
"190","7/9/2019","29.49","1.33","1.77","2.98","29.55","99.04","21.73","21.93"
"191","7/10/2019","30.03","1.06","1.43","2.22","30.19","99.12","21.91","22.12"
"192","7/11/2019","29.21","0.93","4.3","1.95","29.34","98.92","22.85","23.1"
"193","7/12/2019","28.89","1.7","3.77","3.72","28.79","98.91","22.34","22.52"
"194","7/13/2019","26.93","2.08","3.34","4.38","26.85","99.39","21.43","21.57"
"195","7/14/2019","25.45","1.22","4.4","2.71","25.51","99.7","20.49","20.64"
"196","7/15/2019","25.49","1.74","5.44","4.06","25.44","99.57","20.68","20.81"
"197","7/16/2019","27.1","2.19","2.92","4.83","27.02","99.52","21.15","21.35"
"198","7/17/2019","27.14","1.85","8.1","3.83","27.16","99.45","23.15","23.24"
"199","7/18/2019","27.8","1.36","1.91","2.86","27.93","99.37","23.04","23.16"
"200","7/19/2019","27.51","1.03","6.11","2.41","27.52","99.39","22.81","22.93"
"201","7/20/2019","26.95","1.01","8.36","2.35","26.94","99.34","22.32","22.47"
"202","7/21/2019","26.48","1.32","3.36","3.07","26.41","99.28","22.02","22.13"
"203","7/22/2019","26.66","1.54","1.82","3.48","26.59","99.08","21.46","21.61"
"204","7/23/2019","24.31","2.66","1.31","5.25","24.25","98.99","18.98","19.17"
"205","7/24/2019","23.81","2.3","0","4.82","23.72","99.33","14.87","15.12"
"206","7/25/2019","25.11","1.3","0","2.87","25.28","99.54","15.09","15.32"
"207","7/26/2019","25.48","1.53","0","3.57","25.48","99.82","15.2","15.4"
"208","7/27/2019","27.07","1.13","0","2.39","27.49","99.91","16.27","16.42"
"209","7/28/2019","27.6","1.04","0.33","2.08","27.96","99.73","16.06","16.27"
"210","7/29/2019","27.62","1.3","0.09","2.38","28.22","99.39","16.33","16.51"
"211","7/30/2019","25.75","1.28","1.05","2.37","26.38","99.34","17.76","17.97"
"212","7/31/2019","27.51","1.01","2.89","2.22","27.45","99.37","19.36","19.54"
"213","8/1/2019","27.98","0.92","1.51","2.22","27.88","99.33","19.38","19.56"
"214","8/2/2019","26.95","1.1","2.36","2.54","26.85","99.21","20.11","20.27"
"215","8/3/2019","27.08","1.11","4.41","2.39","27","99.13","20.14","20.3"
"216","8/4/2019","25.97","0.83","12.01","1.79","25.97","99.16","20.69","20.83"
"217","8/5/2019","27.01","1.12","2.14","2.5","26.97","99.08","19.51","19.69"
"218","8/6/2019","27.96","1.19","0.26","2.34","28.16","98.98","19","19.2"
"219","8/7/2019","28.43","1.68","5.31","3.67","28.39","98.94","20.77","20.97"
"220","8/8/2019","28.1","1.43","1.92","2.95","28.14","99.01","22.17","22.33"
"221","8/9/2019","29.24","1.29","1.1","2.49","29.25","99.03","21.37","21.61"
"222","8/10/2019","28.58","1.3","2","2.77","28.5","99.02","22.69","22.82"
"223","8/11/2019","29.72","1.46","0.03","3.21","29.59","99.08","20.28","20.55"
"224","8/12/2019","30.9","1","0.08","2.02","31.11","98.97","20.03","20.26"
"225","8/13/2019","31.6","1.01","5.48","2.09","31.82","98.88","21.77","22.05"
"226","8/14/2019","29.79","1.55","0.26","3.28","29.68","98.96","21.25","21.49"
"227","8/15/2019","28.7","1.85","0.03","4.11","28.56","99.11","18.54","18.73"
"228","8/16/2019","28.14","1.73","0","3.88","28.08","99.13","16.06","16.4"
"229","8/17/2019","29.3","1.32","0","2.83","29.49","99.09","15.68","15.86"
"230","8/18/2019","30.22","1.07","0","2.35","30.4","99.14","16.67","16.88"
"231","8/19/2019","29.83","1.05","1.61","1.99","30.02","99.31","20.03","20.24"
"232","8/20/2019","29.79","0.81","1.17","1.89","29.68","99.43","20.4","20.68"
"233","8/21/2019","28.67","1.19","1.89","2.53","28.56","99.4","20.82","21.08"
"234","8/22/2019","29.06","1.56","0.34","3.39","28.91","99.26","20.06","20.25"
"235","8/23/2019","28.09","1.01","3.4","1.87","28.17","99.25","21.87","22.05"
"236","8/24/2019","28.04","0.53","10.23","1.01","28.19","99.22","22.48","22.71"
"237","8/25/2019","24.44","1.8","14.38","3.75","24.42","99.16","22.68","22.67"
"238","8/26/2019","23.33","2.33","29.45","4.68","23.29","99.02","21.84","21.84"
"239","8/27/2019","26.48","1.23","8.27","2.98","26.41","98.98","22.81","22.93"
"240","8/28/2019","25.65","1.94","0.83","4.42","25.6","99.24","19.48","19.77"
"241","8/29/2019","23.38","1.79","0","4","23.4","99.45","13.69","13.99"
"242","8/30/2019","24.02","1.59","0","3.68","24.31","99.46","13.6","13.75"
"243","8/31/2019","25.75","1.51","0.04","3.67","25.68","99.49","16.76","17.03"
"244","9/1/2019","26.84","1.4","0.63","3.25","26.76","99.49","19.99","20.15"
"245","9/2/2019","27.1","1.48","0","3.14","27.28","99.34","19.22","19.41"
"246","9/3/2019","28.17","1.44","0","3.5","28.09","99.14","18.94","19.12"
"247","9/4/2019","28.19","1.86","0","4.13","28.22","99.2","18.4","18.57"
"248","9/5/2019","26.95","2.58","0","5.59","26.89","99.13","17.14","17.54"
"249","9/6/2019","25.53","2.05","0","4.47","25.44","99.11","16.37","16.64"
"250","9/7/2019","28.73","1.66","0","3.97","28.62","99.06","19.98","20.15"
"251","9/8/2019","27.28","1.45","0","3.31","27.3","99.23","15.36","15.5"
"252","9/9/2019","28.45","1.1","0.01","2.66","28.77","99.5","15.44","15.74"
"253","9/10/2019","28.75","1.05","1.34","1.93","29.27","99.81","20.63","20.84"
"254","9/11/2019","28.63","0.72","3.42","1.6","29.21","99.84","20.49","20.72"
"255","9/12/2019","29.25","1.1","0.04","2.08","29.84","99.61","18.74","18.94"
"256","9/13/2019","29.94","1.1","1.02","2.68","30.04","99.61","18.94","19.23"
"257","9/14/2019","26.6","1.61","1.96","3.61","26.51","99.8","20.56","20.69"
"258","9/15/2019","28.01","1.56","0","3.13","28.3","99.53","19.58","19.73"
"259","9/16/2019","28.56","1.46","0","2.61","29.3","99.35","17.07","17.26"
"260","9/17/2019","29.3","1.55","0","3.76","29.21","99.18","17.29","17.46"
"261","9/18/2019","29.15","1.56","0","3.56","29.03","99.15","16.8","16.97"
"262","9/19/2019","26.64","2.36","0","4.68","26.5","99.54","17.15","17.33"
"263","9/20/2019","24.32","2.14","0","4.6","24.23","99.89","11.13","11.17"
"264","9/21/2019","24.22","1.68","0","3.91","24.13","99.92","13.02","13.2"
"265","9/22/2019","24.76","1.68","0","3.74","24.78","99.68","13.72","13.79"
"266","9/23/2019","26.13","1.4","0","3.03","26.12","99.36","16.36","16.6"
